"","S","N","B","L","nEvents","AHRK.H1","pow.nbind","rule","tk","tK","AHRk.H1","H0.AE","H0.AN","H0.AL","H0AER","H0.ANR","H0ALR","qk","cpk","ahrk","etak","ppk","pr.S","pow.bind","powloss"
"1","FS",680,34,46.7907458102112,506.680996219804,0.75,0.900000000565237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","GSD",680,34,46.9946886759316,508.412779188602,0.75,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"Wieand1",27.6651095158784,46.9458878732091,0.75,381,602.009582940384,34.8481857194027,0.75,0.885308210206447,0.742305424747818,0.5,0.315841712736934,1,0,0.025,0.5,0.897714899370528,0.00237225294969345
"4","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"KF1",27.6651095158784,46.9458878732091,0.75,381,602.009582940384,34.8481857194027,0.75,0.885308210206447,0.742305424747818,0.5,0.315841712736934,1,0,0.025,0.5,0.897714899370528,0.00237225294969345
"5","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"OF1",21.6770189764229,46.9458878732091,0.75,337.180503662426,543.541783652783,31.8831272558325,0.663741148941783,0.799326152430564,0.679146355293676,0.333333333333333,0.600412247991091,0.998310787114205,-0.011,0.0840822487625472,0.504388276587326,0.884608002954289,0.0154791493659325
"6","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"Xi1",24.161747856553,46.9458878732091,0.75,298.318006182421,526.534302434792,29.2899197352849,0.587240169650434,0.774315150639401,0.62390812781466,0.4,0.648410483948146,0.933561293918785,-0.49,0.115026844764184,0.687933050582609,0.869596440919072,0.0304907114011499
"7","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"CP1AE.PH(0.75)",24.881405729721,46.9458878732091,0.75,299.748514110242,532.055962819447,29.386855405564,0.590056130138272,0.782435239440364,0.625972966267921,0.42,0.64,0.928213251747767,-0.544059616664899,0.114124400505908,0.706799775623669,0.870232221706237,0.0298549306139845
"8","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"CP1AE.NPH(3,1.0,0.6938)",26.6375408751321,46.9458878732091,0.75,336.282004874031,567.950526923692,31.83688055427,0.661972450539431,0.835221363123077,0.67816124870239,0.47,0.5,0.955393194489519,-0.352551981892715,0.0650516843609548,0.637787829170885,0.888832041539568,0.0112551107806539
"9","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"CP1AE.NPH(3,1.3,0.6295)",29.3403409068912,46.9458878732091,0.75,373.164341144568,606.967705327571,34.2430972410704,0.734575474694031,0.892599566658193,0.72941636178382,0.55,0.31,0.973191508901432,-0.227113556269014,0.0276992118758949,0.589832278457708,0.897113836755964,0.00297331556425717
"10","PH(0.75)",680,34,46.9458858275778,508,0.75,0.900087152320222,"CP1AE.NPH(6,1.0,0.623)",29.008751604095,46.9458878732091,0.75,367.45788055517,601.700665290469,33.8696218270846,0.723342284557421,0.884853919544807,0.721460916755954,0.54,0.34,0.96943702113982,-0.257049750530903,0.0325143295198597,0.60142981617952,0.896305222658241,0.0037819296619811
"11","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"Wieand1",27.5360976147925,47.34363671338,0.781840083288279,381.007206397379,602.01268765667,34.8488245352216,0.75,0.885312775965692,0.73608254510966,0.5,0.315849423121246,1,0,0.025,0.5,0.89233277813803,0.00775452776921615
"12","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"KF1",27.5360976147925,47.34363671338,0.781840083288279,381.007206397379,602.01268765667,34.8488245352216,0.75,0.885312775965692,0.73608254510966,0.5,0.315849423121246,1,0,0.025,0.5,0.89233277813803,0.00775452776921615
"13","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"OF1",21.4888682754722,47.34363671338,0.796180233860595,337.18688123906,543.544113038797,31.8837230609721,0.663741148941783,0.79932957799823,0.673453189061566,0.333333333333333,0.600421917038362,0.998310803075727,-0.011,0.0840822487625472,0.504388276587326,0.858891650079923,0.0411956558273229
"14","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"Xi1",23.9982164454337,47.34363671338,0.789387053764752,298.323648697113,526.537988871085,29.2904058757731,0.587240169650434,0.774320571869242,0.618676721292084,0.4,0.648419295103442,0.933561900884662,-0.49,0.115026844764184,0.687933050582609,0.829670838132024,0.0704164677752219
"15","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"CP1AE.PH(0.75)",24.7250451992952,47.34363671338,0.787666421138435,299.756965422879,532.06164025895,29.3875125041346,0.590061605902228,0.782443588616103,0.620727823304983,0.42,0.64,0.928217393033769,-0.544032176975625,0.114119892834572,0.706790334651331,0.83144767224586,0.0686396336613857
"16","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"CP1AE.NPH(3,1.0,0.6938)",26.4984712969761,47.34363671338,0.783851147193541,336.290758069843,567.955851683583,31.8375814978196,0.661977160319973,0.835229193652327,0.67247857945296,0.47,0.5,0.955396537889613,-0.352528278921921,0.0650488524904307,0.637778942792504,0.87038426841482,0.0297030374924254
"17","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"CP1AE.NPH(3,1.3,0.6295)",29.2275471391277,47.34363671338,0.778864336352806,373.173052826012,606.971877419343,34.2437712306289,0.734578729536163,0.892605702087269,0.72330251070932,0.55,0.31,0.973193925302373,-0.22709495223993,0.0276979022666501,0.589825045475194,0.890783192610862,0.00930411329638403
"18","NPH(3,1,0.6938)",680,34,47.3436366162301,508.009608529838,0.750001982197751,0.900087305907246,"CP1AE.NPH(6,1.0,0.623)",28.8927655264427,47.34363671338,0.779425934114717,367.466561941468,601.705633900238,33.8703260877462,0.723345692229923,0.88486122632388,0.715414541605682,0.54,0.34,0.969439552460829,-0.25703055779919,0.0325128172373148,0.601422408195819,0.888619794995909,0.0114675109113366
