"","rule","N","B","L","nEvents","gk","qk","qK","tk","tK","AHRk.H1","AHRK.H1","H1.pow.nbind","H1.pow.bind","H1.powloss","H1.pr.S","H1.cpk","H1.AE","H1.AN","H1.AL","H0.pr.S","H0.cpk","H0.AE","H0.AN","H0.AL","etak"
"1","CP1AE",680,12,34.3509048157369,508,0.35,0.55,1,16.6155277547679,34.3446920980116,0.799338285219353,0.750016439113591,0.900043823241406,0.875290988763374,0.0247528344780317,0.061200258452194,0.35,494.009620917828,680,33.2596626580636,0.628200695769493,0.35,364.393320947094,680,20.9477079939396,NA
"2","CP1AN",680,12,34.3509048157369,508,0.35,0.5,1,15.3459056440442,34.3446920980116,0.81073186782447,0.750016439113591,0.900043823241406,0.875283515515788,0.0247603077256182,0.0572902453370923,0.35,493.448277684379,680,33.2562469609568,0.537460631786174,0.35,371.484999526312,680,21.7038592331048,NA
"3","CP1AL",680,12,34.3509048157369,508,0.35,0.6,1,17.9712058225433,34.3446920980116,0.789966039858338,0.750016439113591,0.900043823241406,0.875740821843691,0.0243030013977152,0.0646920334231622,0.35,494.854578808413,680,33.2854579766253,0.705926020258846,0.35,364.555832683403,680,20.6105821065049,NA
"4","Xi1",680,12,34.3509048157369,508,NA,0.4,1,13.062329025684,34.3446920980116,0.834812971765683,0.750016439113591,0.900043823241406,0.751974953830783,0.148068869410623,0.212772892585356,0.648410483948146,443.146822339983,680,29.8163821460607,0.687933050582609,0.648410483948146,298.318006182421,680,17.9995148852015,-0.49
"5","KF1",680,12,34.3509048157369,508,NA,0.638919517501247,1,19.0937927229998,34.3446920980116,0.783747695586085,0.750016439113591,0.900043823240379,0.898320971482369,0.00172285175801001,0.014083790763218,0.0944923520410403,505.416623295267,680,34.129901622263,0.5,0.0944918996066593,416.285557398573,680,23.8597964491481,0
"6","OF1",680,12,34.3509048157369,508,NA,0.333333333333333,1,11.7137157983018,34.3446920980116,0.847134369712656,0.750016439113591,0.900043823241406,0.804571536734343,0.0954722865070626,0.142673075187632,0.600412247991091,459.681385203122,677.685447312078,31.1158611148336,0.504388276587326,0.600412247991091,337.180503662426,659.230699113969,20.6252230166823,-0.011
"7","Wieand1",680,12,34.3509048157369,508,NA,0.5,1,15.3459056440442,34.3446920980116,0.81073186782447,0.750016439113591,0.900043823241406,0.881047358843855,0.0189964643975509,0.0472647715030443,0.315841712736934,495.994748038227,680,33.4467187974297,0.5,0.315841712736934,381,680,22.2920413004385,0
"8","CP1AE",680,34,47.3436366162301,508,0.5,0.45,1,25.7959077862763,47.3424520723639,0.785302378680011,0.750003086505301,0.900079018096732,0.872053708943071,0.0280253091536605,0.0589735386065907,0.5,491.522793313319,670.323513022039,46.0717761110697,0.603972555213577,0.5,339.250068073326,565.842720493663,32.052580231254,NA
"9","CP1AN",680,34,47.3436366162301,508,0.5,0.45,1,25.7959077862763,47.3424520723639,0.785302378680011,0.750003086505301,0.900079018096732,0.872053708943071,0.0280253091536605,0.0589735386065907,0.5,491.522793313319,670.323513022039,46.0717761110697,0.603972555213577,0.5,339.250068073326,565.842720493663,32.052580231254,NA
"10","CP1AL",680,34,47.3436366162301,508,0.5,0.45,1,25.7959077862763,47.3424520723639,0.785302378680011,0.750003086505301,0.900079018096732,0.872053708943071,0.0280253091536605,0.0589735386065907,0.5,491.522793313319,670.323513022039,46.0717761110697,0.603972555213577,0.5,339.250068073326,565.842720493663,32.052580231254,NA
"11","Xi1",680,34,47.3436366162301,508,NA,0.4,1,23.9979394303293,47.3424520723639,0.789387728656264,0.750003086505301,0.900079018096732,0.829661884864491,0.0704171332322405,0.115923176103059,0.648410483948146,472.666615923788,656.810587423772,44.6362820223213,0.687933050582609,0.648410483948146,298.318006182421,526.534380552995,29.289923642501,-0.49
"12","KF1",680,34,47.3436366162301,508,NA,0.500000218000639,1,27.535773352332,47.3424520723639,0.781840689068076,0.750003086505301,0.900079018537614,0.892324423988595,0.00775459454901972,0.0249320127338071,0.315841561769232,501.667270609622,676.776676378123,46.8486317063017,0.5,0.31584132260889,381.000057713026,602.00960762087,34.848186995164,0
"13","OF1",680,34,47.3436366162301,508,NA,0.333333333333333,1,21.4886238225818,47.3424520723639,0.796180969261038,0.750003086505301,0.900079018096732,0.858882997752274,0.041196020344458,0.0705107937020786,0.600412247991091,484.120344532896,662.356258708499,45.5194781222346,0.504388276587326,0.600412247991091,337.180503662426,543.541783615567,31.8831272560458,-0.011
"14","Wieand1",680,34,47.3436366162301,508,NA,0.5,1,27.535773352332,47.3424520723639,0.781840689068076,0.750003086505301,0.900079018096732,0.892324417355605,0.00775460074112655,0.0249320224481757,0.315841712736934,501.667266298163,676.776675122205,46.8486315138923,0.5,0.315841712736934,381,602.009607368335,34.8481869428928,0
"15","CP1AE",680,60,64.880805538844,508,0.55,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.900085213430627,0.870963115947228,0.0291220974833994,0.064491966929067,0.55,491.619040400017,665.121555613636,63.2529624378227,0.72741718205177,0.55,323.23603575885,496.738029618025,44.3013750345805,NA
"16","CP1AN",680,60,64.880805538844,508,0.55,0.45,1,36.9857170187301,64.880520736181,0.768675554107393,0.750000735721012,0.900085213430627,0.873693278815874,0.0263919346147529,0.0563353180052555,0.55,492.259912149332,665.306141228655,63.3090580980642,0.656366611044713,0.55,324.611168874107,495.658686278476,44.3290512930309,NA
"17","CP1AL",680,60,64.880805538844,508,0.55,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.900085213430627,0.870963115947228,0.0291220974833994,0.064491966929067,0.55,491.619040400017,665.121555613636,63.2529624378227,0.72741718205177,0.55,323.23603575885,496.738029618025,44.3013750345805,NA
"18","Xi1",680,60,64.880805538844,508,NA,0.4,1,34.2601008320446,64.880520736181,0.771725832781983,0.750000735721012,0.900085213430627,0.850502274633199,0.0495829387974284,0.0874069325330014,0.648410483948146,481.358366963941,654.501749526896,62.204083759488,0.687933050582609,0.648410483948146,298.318006182421,466.448380659699,41.6970636897659,-0.49
"19","KF1",680,60,64.880805538844,508,NA,0.500000002875495,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.900085215141085,0.895645184666006,0.00444003047507946,0.0168710292989114,0.315841898481351,503.714760716347,676.107814924599,64.4547532329586,0.5,0.315841707235341,381.000000428815,554.032416575536,49.750177826298,0
"20","OF1",680,60,64.880805538844,508,NA,0.333333333333333,1,30.4924555925992,64.880520736181,0.776848171758008,0.750000735721012,0.900085213430627,0.871968614766356,0.0281165986642715,0.0513465752824574,0.600412247991091,490.610626504341,662.828738029763,63.114811360468,0.504388276587326,0.600412247991091,337.180503662426,502.869770307569,45.2282351247479,-0.011
"21","Wieand1",680,60,64.880805538844,508,NA,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.900085213430627,0.895645187971421,0.00444002545920652,0.016871020516122,0.315841712736934,503.714760788905,676.107816950809,64.4547534546064,0.5,0.315841712736934,381,554.032415714279,49.7501775964937,0
